pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
B1fyfEwio-,4-20200812214741517,4,20200812T214741,142991,4-20200812214741517,20200812T214741,20220812T214741,2,Sfilab13,62,4-20200812214741517
B1fyfEwio-,4-20200812214223507,4,20200812T214223,142990,4-20200812214223507,20200812T214223,20220812T214223,2,Sfilab13,62,4-20200812214223507
B1fyfEwio-,4-20200812213820408,4,20200812T213820,142989,4-20200812213820407,20200812T213820,20220812T213820,2,Sfilab13,62,4-20200812213820408
B1fyfEwio-,4-20200812213748867,4,20200812T213748,142988,4-20200812213748867,20200812T213748,20220812T213748,2,Sfilab13,62,4-20200812213748867
B1fyfEwio-,4-20200812213224854,4,20200812T213224,142987,4-20200812213224854,20200812T213224,20220812T213224,2,Sfilab13,63,4-20200812213224854
B1fyfEwio-,4-20200812212703343,4,20200812T212703,142986,4-20200812212703343,20200812T212703,20220812T212703,2,Sfilab13,63,4-20200812212703343
B1fyfEwio-,4-20200812212229332,4,20200812T212229,142985,4-20200812212229332,20200812T212229,20220812T212229,2,Sfilab13,63,4-20200812212229332
B1fyfEwio-,4-20200812211705939,4,20200812T211705,142984,4-20200812211705939,20200812T211705,20220812T211705,2,Sfilab13,63,4-20200812211705939
B1fyfEwio-,4-20200812211144030,4,20200812T211144,142983,4-20200812211144029,20200812T211144,20220812T211144,2,Sfilab13,64,4-20200812211144030
B1fyfEwio-,4-20200812210707597,4,20200812T210707,142982,4-20200812210707597,20200812T210707,20220812T210707,2,Sfilab13,66,4-20200812210707597
B1fyfEwio-,4-20200812210152090,4,20200812T210152,142981,4-20200812210152090,20200812T210152,20220812T210152,2,Sfilab13,67,4-20200812210152090
B1fyfEwio-,4-20200812205633278,4,20200812T205633,142980,4-20200812205633277,20200812T205633,20220812T205633,2,Sfilab13,67,4-20200812205633278
B1fyfEwio-,4-20200812205153073,4,20200812T205153,142979,4-20200812205153073,20200812T205153,20220812T205153,2,Sfilab13,66,4-20200812205153073
B1fyfEwio-,4-20200812204624155,4,20200812T204624,142978,4-20200812204624154,20200812T204624,20220812T204624,2,Sfilab13,67,4-20200812204624155
B1fyfEwio-,4-20200812204147396,4,20200812T204147,142977,4-20200812204147395,20200812T204147,20220812T204147,2,Sfilab13,67,4-20200812204147396
B1fyfEwio-,4-20200812203619807,4,20200812T203619,142976,4-20200812203619807,20200812T203619,20220812T203619,2,Sfilab13,66,4-20200812203619807
B1fyfEwio-,4-20200812203142047,4,20200812T203142,142975,4-20200812203142046,20200812T203142,20220812T203142,2,Sfilab13,66,4-20200812203142047
B1fyfEwio-,4-20200812202619703,4,20200812T202619,142974,4-20200812202619703,20200812T202619,20220812T202619,2,Sfilab13,66,4-20200812202619703
B1fyfEwio-,4-20200812202100192,4,20200812T202100,142973,4-20200812202100191,20200812T202100,20220812T202100,2,Sfilab13,66,4-20200812202100192
B1fyfEwio-,4-20200812201620516,4,20200812T201620,142972,4-20200812201620516,20200812T201620,20220812T201620,2,Sfilab13,66,4-20200812201620516
B1fyfEwio-,4-20200812201101170,4,20200812T201101,142971,4-20200812201101170,20200812T201101,20220812T201101,2,Sfilab13,66,4-20200812201101170
B1fyfEwio-,4-20200812200542659,4,20200812T200542,142970,4-20200812200542659,20200812T200542,20220812T200542,2,Sfilab13,66,4-20200812200542659
B1fyfEwio-,4-20200812200111664,4,20200812T200111,142969,4-20200812200111663,20200812T200111,20220812T200111,2,Sfilab13,66,4-20200812200111664
B1fyfEwio-,4-20200812195547805,4,20200812T195547,142968,4-20200812195547804,20200812T195547,20220812T195547,2,Sfilab13,66,4-20200812195547805
B1fyfEwio-,4-20200812195030128,4,20200812T195030,142967,4-20200812195030127,20200812T195030,20220812T195030,2,Sfilab13,66,4-20200812195030128
