pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
HJGEGVPjoZ,4-20200812214018566,4,20200812T214018,70309,4-20200812214018565,20200812T214018,20220812T214018,5,Sfilab06,10.84,4-20200812214018566
HJGEGVPjoZ,4-20200812213511391,4,20200812T213511,70308,4-20200812213511390,20200812T213511,20220812T213511,4,Sfilab06,7.83,4-20200812213511391
HJGEGVPjoZ,4-20200812213008213,4,20200812T213008,70307,4-20200812213008213,20200812T213008,20220812T213008,4,Sfilab06,5.40,4-20200812213008213
HJGEGVPjoZ,4-20200812212522382,4,20200812T212522,70306,4-20200812212522381,20200812T212522,20220812T212522,4,Sfilab06,3.48,4-20200812212522382
HJGEGVPjoZ,4-20200812212005869,4,20200812T212005,70305,4-20200812212005868,20200812T212005,20220812T212005,4,Sfilab06,2.51,4-20200812212005869
HJGEGVPjoZ,4-20200812211529153,4,20200812T211529,70304,4-20200812211529153,20200812T211529,20220812T211529,4,Sfilab06,1.90,4-20200812211529153
HJGEGVPjoZ,4-20200812210956352,4,20200812T210956,70303,4-20200812210956352,20200812T210956,20220812T210956,4,Sfilab06,1.88,4-20200812210956352
HJGEGVPjoZ,4-20200812210448341,4,20200812T210448,70302,4-20200812210448340,20200812T210448,20220812T210448,4,Sfilab06,1.53,4-20200812210448341
HJGEGVPjoZ,4-20200812205943830,4,20200812T205943,70301,4-20200812205943830,20200812T205943,20220812T205943,4,Sfilab06,1.48,4-20200812205943830
HJGEGVPjoZ,4-20200812205434980,4,20200812T205434,70300,4-20200812205434980,20200812T205434,20220812T205434,4,Sfilab06,1.43,4-20200812205434980
HJGEGVPjoZ,4-20200812204926802,4,20200812T204926,70299,4-20200812204926802,20200812T204926,20220812T204926,4,Sfilab06,1.20,4-20200812204926802
HJGEGVPjoZ,4-20200812204421300,4,20200812T204421,70298,4-20200812204421300,20200812T204421,20220812T204421,4,Sfilab06,1.16,4-20200812204421300
HJGEGVPjoZ,4-20200812203920445,4,20200812T203920,70297,4-20200812203920445,20200812T203920,20220812T203920,4,Sfilab06,1.18,4-20200812203920445
HJGEGVPjoZ,4-20200812203412264,4,20200812T203412,70296,4-20200812203412264,20200812T203412,20220812T203412,4,Sfilab06,1.17,4-20200812203412264
HJGEGVPjoZ,4-20200812202903084,4,20200812T202903,70295,4-20200812202903084,20200812T202903,20220812T202903,4,Sfilab06,1.18,4-20200812202903084
HJGEGVPjoZ,4-20200812202354759,4,20200812T202354,70294,4-20200812202354759,20200812T202354,20220812T202354,4,Sfilab06,1.16,4-20200812202354759
HJGEGVPjoZ,4-20200812201851729,4,20200812T201851,70293,4-20200812201851728,20200812T201851,20220812T201851,4,Sfilab06,1.16,4-20200812201851729
HJGEGVPjoZ,4-20200812201351555,4,20200812T201351,70292,4-20200812201351555,20200812T201351,20220812T201351,4,Sfilab06,1.16,4-20200812201351555
HJGEGVPjoZ,4-20200812200842374,4,20200812T200842,70291,4-20200812200842374,20200812T200842,20220812T200842,4,Sfilab06,1.16,4-20200812200842374
HJGEGVPjoZ,4-20200812200333722,4,20200812T200333,70290,4-20200812200333722,20200812T200333,20220812T200333,4,Sfilab06,1.16,4-20200812200333722
HJGEGVPjoZ,4-20200812195827013,4,20200812T195827,70289,4-20200812195827013,20200812T195827,20220812T195827,4,Sfilab06,1.17,4-20200812195827013
HJGEGVPjoZ,4-20200812195321699,4,20200812T195321,70288,4-20200812195321699,20200812T195321,20220812T195321,4,Sfilab06,1.17,4-20200812195321699
HJGEGVPjoZ,4-20200812194819188,4,20200812T194819,70287,4-20200812194819188,20200812T194819,20220812T194819,4,Sfilab06,1.16,4-20200812194819188
HJGEGVPjoZ,4-20200812194313177,4,20200812T194313,70286,4-20200812194313176,20200812T194313,20220812T194313,4,Sfilab06,1.16,4-20200812194313177
HJGEGVPjoZ,4-20200812193811304,4,20200812T193811,70285,4-20200812193811304,20200812T193811,20220812T193811,4,Sfilab06,1.17,4-20200812193811304
HJGEGVPjoZ,4-20200812193308129,4,20200812T193308,70284,4-20200812193308129,20200812T193308,20220812T193308,4,Sfilab06,1.17,4-20200812193308129
HJGEGVPjoZ,4-20200812192807957,4,20200812T192807,70283,4-20200812192807957,20200812T192807,20220812T192807,4,Sfilab06,1.17,4-20200812192807957
HJGEGVPjoZ,4-20200812192307784,4,20200812T192307,70282,4-20200812192307784,20200812T192307,20220812T192307,4,Sfilab06,1.17,4-20200812192307784
HJGEGVPjoZ,4-20200812191804608,4,20200812T191804,70281,4-20200812191804607,20200812T191804,20220812T191804,4,Sfilab06,1.16,4-20200812191804608
HJGEGVPjoZ,4-20200812191300434,4,20200812T191300,70280,4-20200812191300434,20200812T191300,20220812T191300,4,Sfilab06,1.16,4-20200812191300434
HJGEGVPjoZ,4-20200812190752107,4,20200812T190752,70279,4-20200812190752106,20200812T190752,20220812T190752,4,Sfilab06,1.16,4-20200812190752107
HJGEGVPjoZ,4-20200812190244078,4,20200812T190244,70278,4-20200812190244077,20200812T190244,20220812T190244,4,Sfilab06,1.17,4-20200812190244078
HJGEGVPjoZ,4-20200812185736585,4,20200812T185736,70277,4-20200812185736585,20200812T185736,20220812T185736,4,Sfilab06,1.17,4-20200812185736585
HJGEGVPjoZ,4-20200812185235576,4,20200812T185235,70276,4-20200812185235576,20200812T185235,20220812T185235,4,Sfilab06,1.17,4-20200812185235576
HJGEGVPjoZ,4-20200812184728550,4,20200812T184728,70275,4-20200812184728550,20200812T184728,20220812T184728,4,Sfilab06,1.17,4-20200812184728550
HJGEGVPjoZ,4-20200812184221370,4,20200812T184221,70274,4-20200812184221369,20200812T184221,20220812T184221,4,Sfilab06,1.16,4-20200812184221370
HJGEGVPjoZ,4-20200812183714044,4,20200812T183714,70273,4-20200812183714044,20200812T183714,20220812T183714,4,Sfilab06,1.18,4-20200812183714044
HJGEGVPjoZ,4-20200812183211534,4,20200812T183211,70272,4-20200812183211534,20200812T183211,20220812T183211,4,Sfilab06,1.17,4-20200812183211534
HJGEGVPjoZ,4-20200812182708847,4,20200812T182708,70271,4-20200812182708846,20200812T182708,20220812T182708,4,Sfilab06,1.16,4-20200812182708847
HJGEGVPjoZ,4-20200812182206672,4,20200812T182206,70270,4-20200812182206672,20200812T182206,20220812T182206,4,Sfilab06,1.17,4-20200812182206672
HJGEGVPjoZ,4-20200812181706513,4,20200812T181706,70269,4-20200812181706513,20200812T181706,20220812T181706,4,Sfilab06,1.17,4-20200812181706513
HJGEGVPjoZ,4-20200812181204324,4,20200812T181204,70268,4-20200812181204324,20200812T181204,20220812T181204,4,Sfilab06,1.17,4-20200812181204324
HJGEGVPjoZ,4-20200812180655983,4,20200812T180655,70267,4-20200812180655983,20200812T180655,20220812T180655,4,Sfilab06,1.17,4-20200812180655983
HJGEGVPjoZ,4-20200812180155473,4,20200812T180155,70266,4-20200812180155473,20200812T180155,20220812T180155,4,Sfilab06,1.16,4-20200812180155473
HJGEGVPjoZ,4-20200812175650464,4,20200812T175650,70265,4-20200812175650464,20200812T175650,20220812T175650,4,Sfilab06,1.16,4-20200812175650464
HJGEGVPjoZ,4-20200812175147626,4,20200812T175147,70264,4-20200812175147626,20200812T175147,20220812T175147,4,Sfilab06,1.17,4-20200812175147626
HJGEGVPjoZ,4-20200812174638448,4,20200812T174638,70263,4-20200812174638448,20200812T174638,20220812T174638,4,Sfilab06,1.17,4-20200812174638448
HJGEGVPjoZ,4-20200812174129933,4,20200812T174129,70262,4-20200812174129933,20200812T174129,20220812T174129,4,Sfilab06,1.16,4-20200812174129933
HJGEGVPjoZ,4-20200812173624095,4,20200812T173624,70261,4-20200812173624095,20200812T173624,20220812T173624,4,Sfilab06,1.17,4-20200812173624095
HJGEGVPjoZ,4-20200812173115912,4,20200812T173115,70260,4-20200812173115912,20200812T173115,20220812T173115,4,Sfilab06,1.17,4-20200812173115912
HJGEGVPjoZ,4-20200812172613408,4,20200812T172613,70259,4-20200812172613408,20200812T172613,20220812T172613,4,Sfilab06,1.17,4-20200812172613408
HJGEGVPjoZ,4-20200812172107899,4,20200812T172107,70258,4-20200812172107899,20200812T172107,20220812T172107,4,Sfilab06,1.16,4-20200812172107899
HJGEGVPjoZ,4-20200812171606389,4,20200812T171606,70257,4-20200812171606389,20200812T171606,20220812T171606,4,Sfilab06,1.16,4-20200812171606389
HJGEGVPjoZ,4-20200812171105213,4,20200812T171105,70256,4-20200812171105213,20200812T171105,20220812T171105,4,Sfilab06,1.17,4-20200812171105213
HJGEGVPjoZ,4-20200812170604038,4,20200812T170604,70255,4-20200812170604037,20200812T170604,20220812T170604,4,Sfilab06,1.16,4-20200812170604038
HJGEGVPjoZ,4-20200812170101861,4,20200812T170101,70254,4-20200812170101861,20200812T170101,20220812T170101,6,Sfilab06,285.80,4-20200812170101861
HJGEGVPjoZ,4-20200812165553343,4,20200812T165553,70253,4-20200812165553343,20200812T165553,20220812T165553,6,Sfilab06,130.09,4-20200812165553343
HJGEGVPjoZ,4-20200812165045504,4,20200812T165045,70252,4-20200812165045504,20200812T165045,20220812T165045,6,Sfilab06,225.69,4-20200812165045504
HJGEGVPjoZ,4-20200812164541327,4,20200812T164541,70251,4-20200812164541327,20200812T164541,20220812T164541,6,Sfilab06,312.69,4-20200812164541327
