pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
r1Gpf4wsiZ,4-20200812205011824,4,20200812T205011,66302,4-20200812205011824,20200812T205011,20220812T205011,7,Sfilab06,2090767,4-20200812205011824
r1Gpf4wsiZ,4-20200812204450637,4,20200812T204450,66301,4-20200812204450637,20200812T204450,20220812T204450,7,Sfilab06,1260194,4-20200812204450637
r1Gpf4wsiZ,4-20200812203935452,4,20200812T203935,66300,4-20200812203935452,20200812T203935,20220812T203935,7,Sfilab06,1177347,4-20200812203935452
r1Gpf4wsiZ,4-20200812203457289,4,20200812T203457,66299,4-20200812203457289,20200812T203457,20220812T203457,7,Sfilab06,1843692,4-20200812203457289
r1Gpf4wsiZ,4-20200812202933099,4,20200812T202933,66298,4-20200812202933099,20200812T202933,20220812T202933,7,Sfilab06,2109443,4-20200812202933099
r1Gpf4wsiZ,4-20200812202424366,4,20200812T202424,66297,4-20200812202424366,20200812T202424,20220812T202424,7,Sfilab06,1979158,4-20200812202424366
r1Gpf4wsiZ,4-20200812201936757,4,20200812T201936,66296,4-20200812201936756,20200812T201936,20220812T201936,7,Sfilab06,1323928,4-20200812201936757
r1Gpf4wsiZ,4-20200812201416741,4,20200812T201416,66295,4-20200812201416741,20200812T201416,20220812T201416,7,Sfilab06,1967501,4-20200812201416741
r1Gpf4wsiZ,4-20200812200927397,4,20200812T200927,66294,4-20200812200927396,20200812T200927,20220812T200927,7,Sfilab06,1562502,4-20200812200927397
r1Gpf4wsiZ,4-20200812200410659,4,20200812T200410,66293,4-20200812200410659,20200812T200410,20220812T200410,7,Sfilab06,1971935,4-20200812200410659
r1Gpf4wsiZ,4-20200812195912710,4,20200812T195912,66292,4-20200812195912709,20200812T195912,20220812T195912,7,Sfilab06,1684431,4-20200812195912710
r1Gpf4wsiZ,4-20200812195401200,4,20200812T195401,66291,4-20200812195401200,20200812T195401,20220812T195401,7,Sfilab06,1877080,4-20200812195401200
r1Gpf4wsiZ,4-20200812194904193,4,20200812T194904,66290,4-20200812194904193,20200812T194904,20220812T194904,7,Sfilab06,2010958,4-20200812194904193
r1Gpf4wsiZ,4-20200812194347945,4,20200812T194347,66289,4-20200812194347945,20200812T194347,20220812T194347,7,Sfilab06,1947497,4-20200812194347945
r1Gpf4wsiZ,4-20200812193858669,4,20200812T193858,66288,4-20200812193858669,20200812T193858,20220812T193858,7,Sfilab06,1775615,4-20200812193858669
r1Gpf4wsiZ,4-20200812193337591,4,20200812T193337,66287,4-20200812193337591,20200812T193337,20220812T193337,7,Sfilab06,1221568,4-20200812193337591
r1Gpf4wsiZ,4-20200812192852982,4,20200812T192852,66286,4-20200812192852982,20200812T192852,20220812T192852,7,Sfilab06,1893581,4-20200812192852982
r1Gpf4wsiZ,4-20200812192335137,4,20200812T192335,66285,4-20200812192335137,20200812T192335,20220812T192335,7,Sfilab06,1296430,4-20200812192335137
r1Gpf4wsiZ,4-20200812191849632,4,20200812T191849,66284,4-20200812191849632,20200812T191849,20220812T191849,7,Sfilab06,1713386,4-20200812191849632
r1Gpf4wsiZ,4-20200812191327895,4,20200812T191327,66283,4-20200812191327895,20200812T191327,20220812T191327,7,Sfilab06,1715221,4-20200812191327895
r1Gpf4wsiZ,4-20200812190837107,4,20200812T190837,66282,4-20200812190837107,20200812T190837,20220812T190837,7,Sfilab06,1740833,4-20200812190837107
r1Gpf4wsiZ,4-20200812190319096,4,20200812T190319,66281,4-20200812190319096,20200812T190319,20220812T190319,7,Sfilab06,1430322,4-20200812190319096
r1Gpf4wsiZ,4-20200812185820925,4,20200812T185820,66280,4-20200812185820924,20200812T185820,20220812T185820,7,Sfilab06,1646647,4-20200812185820925
r1Gpf4wsiZ,4-20200812185303199,4,20200812T185303,66279,4-20200812185303199,20200812T185303,20220812T185303,7,Sfilab06,1773373,4-20200812185303199
r1Gpf4wsiZ,4-20200812184814568,4,20200812T184814,66278,4-20200812184814567,20200812T184814,20220812T184814,6,Sfilab06,855521,4-20200812184814568
r1Gpf4wsiZ,4-20200812184255559,4,20200812T184255,66277,4-20200812184255559,20200812T184255,20220812T184255,7,Sfilab06,1549967,4-20200812184255559
r1Gpf4wsiZ,4-20200812183758216,4,20200812T183758,66276,4-20200812183758216,20200812T183758,20220812T183758,7,Sfilab06,1712247,4-20200812183758216
r1Gpf4wsiZ,4-20200812183246483,4,20200812T183246,66275,4-20200812183246481,20200812T183246,20220812T183246,7,Sfilab06,1692645,4-20200812183246483
r1Gpf4wsiZ,4-20200812182738307,4,20200812T182738,66274,4-20200812182738307,20200812T182738,20220812T182738,7,Sfilab06,1285571,4-20200812182738307
r1Gpf4wsiZ,4-20200812182232015,4,20200812T182232,66273,4-20200812182232015,20200812T182232,20220812T182232,7,Sfilab06,1826230,4-20200812182232015
r1Gpf4wsiZ,4-20200812181753005,4,20200812T181753,66272,4-20200812181753005,20200812T181753,20220812T181753,7,Sfilab06,1579547,4-20200812181753005
r1Gpf4wsiZ,4-20200812181234995,4,20200812T181234,66271,4-20200812181234995,20200812T181234,20220812T181234,7,Sfilab06,1587254,4-20200812181234995
r1Gpf4wsiZ,4-20200812180717484,4,20200812T180717,66270,4-20200812180717484,20200812T180717,20220812T180717,7,Sfilab06,1648147,4-20200812180717484
r1Gpf4wsiZ,4-20200812180215974,4,20200812T180215,66269,4-20200812180215974,20200812T180215,20220812T180215,7,Sfilab06,1846535,4-20200812180215974
r1Gpf4wsiZ,4-20200812175714964,4,20200812T175714,66268,4-20200812175714963,20200812T175714,20220812T175714,7,Sfilab06,1918674,4-20200812175714964
r1Gpf4wsiZ,4-20200812175234456,4,20200812T175234,66267,4-20200812175234456,20200812T175234,20220812T175234,7,Sfilab06,1581292,4-20200812175234456
r1Gpf4wsiZ,4-20200812174710444,4,20200812T174710,66266,4-20200812174710444,20200812T174710,20220812T174710,7,Sfilab06,1609750,4-20200812174710444
r1Gpf4wsiZ,4-20200812174214935,4,20200812T174214,66265,4-20200812174214935,20200812T174214,20220812T174214,7,Sfilab06,1656847,4-20200812174214935
r1Gpf4wsiZ,4-20200812173706563,4,20200812T173706,66264,4-20200812173706563,20200812T173706,20220812T173706,7,Sfilab06,1618813,4-20200812173706563
r1Gpf4wsiZ,4-20200812173204914,4,20200812T173204,66263,4-20200812173204914,20200812T173204,20220812T173204,7,Sfilab06,1527539,4-20200812173204914
r1Gpf4wsiZ,4-20200812172655905,4,20200812T172655,66262,4-20200812172655905,20200812T172655,20220812T172655,7,Sfilab06,1856109,4-20200812172655905
r1Gpf4wsiZ,4-20200812172153907,4,20200812T172153,66261,4-20200812172153906,20200812T172153,20220812T172153,7,Sfilab06,1034592,4-20200812172153907
