pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
H1MGbVvjjb,4-20200812230328875,4,20200812T230328,74771,4-20200812230328874,20200812T230328,20220812T230328,5,Sfilab05,20.90,4-20200812230328875
H1MGbVvjjb,4-20200812225823599,4,20200812T225823,74770,4-20200812225823599,20200812T225823,20220812T225823,5,Sfilab05,20.90,4-20200812225823599
H1MGbVvjjb,4-20200812225314592,4,20200812T225314,74769,4-20200812225314592,20200812T225314,20220812T225314,5,Sfilab05,20.90,4-20200812225314592
H1MGbVvjjb,4-20200812224805976,4,20200812T224805,74768,4-20200812224805976,20200812T224805,20220812T224805,5,Sfilab05,21.00,4-20200812224805976
H1MGbVvjjb,4-20200812224303570,4,20200812T224303,74767,4-20200812224303569,20200812T224303,20220812T224303,5,Sfilab05,20.90,4-20200812224303570
H1MGbVvjjb,4-20200812223754039,4,20200812T223754,74766,4-20200812223754039,20200812T223754,20220812T223754,5,Sfilab05,20.80,4-20200812223754039
H1MGbVvjjb,4-20200812223252072,4,20200812T223252,74765,4-20200812223252071,20200812T223252,20220812T223252,5,Sfilab05,20.90,4-20200812223252072
H1MGbVvjjb,4-20200812222753035,4,20200812T222753,74764,4-20200812222753035,20200812T222753,20220812T222753,5,Sfilab05,20.90,4-20200812222753035
H1MGbVvjjb,4-20200812222245138,4,20200812T222245,74763,4-20200812222245138,20200812T222245,20220812T222245,5,Sfilab05,20.80,4-20200812222245138
H1MGbVvjjb,4-20200812221746014,4,20200812T221746,74762,4-20200812221746014,20200812T221746,20220812T221746,5,Sfilab05,20.90,4-20200812221746014
H1MGbVvjjb,4-20200812221241993,4,20200812T221241,74761,4-20200812221241993,20200812T221241,20220812T221241,5,Sfilab05,20.90,4-20200812221241993
H1MGbVvjjb,4-20200812220732239,4,20200812T220732,74760,4-20200812220732239,20200812T220732,20220812T220732,5,Sfilab05,20.90,4-20200812220732239
H1MGbVvjjb,4-20200812220228270,4,20200812T220228,74759,4-20200812220228269,20200812T220228,20220812T220228,5,Sfilab05,20.90,4-20200812220228270
H1MGbVvjjb,4-20200812215721302,4,20200812T215721,74758,4-20200812215721302,20200812T215721,20220812T215721,5,Sfilab05,20.90,4-20200812215721302
H1MGbVvjjb,4-20200812215219335,4,20200812T215219,74757,4-20200812215219335,20200812T215219,20220812T215219,5,Sfilab05,20.90,4-20200812215219335
H1MGbVvjjb,4-20200812214715368,4,20200812T214715,74756,4-20200812214715368,20200812T214715,20220812T214715,5,Sfilab05,21.00,4-20200812214715368
H1MGbVvjjb,4-20200812214209402,4,20200812T214209,74755,4-20200812214209402,20200812T214209,20220812T214209,5,Sfilab05,21.00,4-20200812214209402
H1MGbVvjjb,4-20200812213709435,4,20200812T213709,74754,4-20200812213709435,20200812T213709,20220812T213709,5,Sfilab05,21.10,4-20200812213709435
H1MGbVvjjb,4-20200812213207468,4,20200812T213207,74753,4-20200812213207468,20200812T213207,20220812T213207,5,Sfilab05,21.20,4-20200812213207468
H1MGbVvjjb,4-20200812212705500,4,20200812T212705,74752,4-20200812212705500,20200812T212705,20220812T212705,5,Sfilab05,21.20,4-20200812212705500
H1MGbVvjjb,4-20200812212200533,4,20200812T212200,74751,4-20200812212200533,20200812T212200,20220812T212200,5,Sfilab05,21.30,4-20200812212200533
H1MGbVvjjb,4-20200812211652326,4,20200812T211652,74750,4-20200812211652325,20200812T211652,20220812T211652,5,Sfilab05,21.40,4-20200812211652326
H1MGbVvjjb,4-20200812211151316,4,20200812T211151,74749,4-20200812211151316,20200812T211151,20220812T211151,5,Sfilab05,21.60,4-20200812211151316
H1MGbVvjjb,4-20200812210649305,4,20200812T210649,74748,4-20200812210649305,20200812T210649,20220812T210649,5,Sfilab05,21.80,4-20200812210649305
H1MGbVvjjb,4-20200812210139671,4,20200812T210139,74747,4-20200812210139669,20200812T210139,20220812T210139,5,Sfilab05,22.10,4-20200812210139671
H1MGbVvjjb,4-20200812205639285,4,20200812T205639,74746,4-20200812205639285,20200812T205639,20220812T205639,5,Sfilab05,22.00,4-20200812205639285
H1MGbVvjjb,4-20200812205138738,4,20200812T205138,74745,4-20200812205138738,20200812T205138,20220812T205138,5,Sfilab05,22.00,4-20200812205138738
H1MGbVvjjb,4-20200812204635773,4,20200812T204635,74744,4-20200812204635772,20200812T204635,20220812T204635,5,Sfilab05,21.90,4-20200812204635773
